020-07-29 16:36:04,731 [main] INFO OrangeHRM - URL is opened
2020-08-04 20:48:14,175 [main] INFO OrangeHRM - Insert ID
2020-08-04 20:48:14,407 [main] INFO OrangeHRM - Data is inserting
2020-08-04 20:48:14,490 [main] INFO OrangeHRM - Gender is Choosing
2020-08-04 20:48:14,567 [main] INFO OrangeHRM - Choose Material status
2020-08-04 20:48:14,631 [main] INFO OrangeHRM - Choose Nationality
2020-08-04 20:48:15,935 [main] INFO OrangeHRM - Save Sucessfully
2020-08-04 20:48:15,944 [main] INFO OrangeHRM - Test is passed
2020-08-04 20:56:33,787 [main] INFO OrangeHRM - URL is opened
2020-08-04 20:56:36,050 [main] INFO OrangeHRM - Entered Username
2020-08-04 20:56:36,159 [main] INFO OrangeHRM - Entered Password
2020-08-04 20:56:37,802 [main] INFO OrangeHRM - Test is passed
2020-08-04 20:56:46,485 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:56:46,580 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:56:51,079 [main] INFO OrangeHRM - Login Passed
2020-08-04 20:56:55,299 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:56:55,380 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:56:59,005 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:56:59,081 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:57:02,729 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:57:02,818 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:57:07,278 [main] INFO OrangeHRM - Login Passed
2020-08-04 20:57:11,381 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:57:11,465 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:57:15,013 [main] INFO OrangeHRM - User name is provided
2020-08-04 20:57:15,090 [main] INFO OrangeHRM - Password is provided
2020-08-04 20:57:25,786 [main] INFO OrangeHRM - Username Provided
2020-08-04 20:57:25,872 [main] INFO OrangeHRM - Password Provided
2020-08-04 20:57:33,254 [main] INFO OrangeHRM - Click on Edit Button
2020-08-04 20:57:33,396 [main] INFO OrangeHRM - Enter first name
2020-08-04 20:57:33,531 [main] INFO OrangeHRM - Enter last name
2020-08-04 20:57:33,659 [main] INFO OrangeHRM - Insert ID
2020-08-04 20:57:33,902 [main] INFO OrangeHRM - Data is inserting
2020-08-04 20:57:33,993 [main] INFO OrangeHRM - Gender is Choosing
2020-08-04 20:57:34,065 [main] INFO OrangeHRM - Choose Material status
2020-08-04 20:57:34,136 [main] INFO OrangeHRM - Choose Nationality
2020-08-04 20:57:35,432 [main] INFO OrangeHRM - Save Sucessfully
2020-08-04 20:57:35,439 [main] INFO OrangeHRM - Test is passed
2020-08-04 21:15:15,961 [main] INFO OrangeHRM - URL is opened
2020-08-04 21:15:18,216 [main] INFO OrangeHRM - Entered Username
2020-08-04 21:15:18,306 [main] INFO OrangeHRM - Entered Password
2020-08-04 21:15:19,828 [main] INFO OrangeHRM - Test is passed
2020-08-04 21:15:28,288 [main] INFO OrangeHRM - User name is provided
2020-08-04 21:15:28,382 [main] INFO OrangeHRM - Password is provided
2020-08-04 21:15:32,919 [main] INFO OrangeHRM - Login Passed
2020-08-04 21:15:36,998 [main] INFO OrangeHRM - User name is provided
2020-08-04 21:15:37,088 [main] INFO OrangeHRM - Password is provided
2020-08-04 21:15:40,761 [main] INFO OrangeHRM - User name is provided
2020-08-04 21:15:40,838 [main] INFO OrangeHRM - Password is provided
2020-08-04 21:15:44,418 [main] INFO OrangeHRM - User name is provided
2020-08-04 21:15:44,496 [main] INFO OrangeHRM - Password is provided
2020-08-04 21:15:48,704 [main] INFO OrangeHRM - Login Passed
2020-08-04 21:15:52,772 [main] INFO OrangeHRM - User name is provided
2020-08-04 21:15:52,854 [main] INFO OrangeHRM - Password is provided
2020-08-04 21:15:56,398 [main] INFO OrangeHRM - User name is provided
2020-08-04 21:15:56,481 [main] INFO OrangeHRM - Password is provided
2020-08-04 21:16:07,029 [main] INFO OrangeHRM - Username Provided
2020-08-04 21:16:07,120 [main] INFO OrangeHRM - Password Provided
2020-08-04 21:16:14,120 [main] INFO OrangeHRM - Click on Edit Button
2020-08-04 21:16:14,262 [main] INFO OrangeHRM - Enter first name
2020-08-04 21:16:14,390 [main] INFO OrangeHRM - Enter last name
2020-08-04 21:16:14,514 [main] INFO OrangeHRM - Insert ID
2020-08-04 21:16:14,742 [main] INFO OrangeHRM - Data is inserting
2020-08-04 21:16:14,826 [main] INFO OrangeHRM - Gender is Choosing
2020-08-04 21:16:14,899 [main] INFO OrangeHRM - Choose Material status
2020-08-04 21:16:14,965 [main] INFO OrangeHRM - Choose Nationality
2020-08-04 21:16:16,260 [main] INFO OrangeHRM - Save Sucessfully
2020-08-04 21:16:16,267 [main] INFO OrangeHRM - Test is passed
2020-08-04 21:18:28,102 [main] INFO OrangeHRM - URL is opened
2020-08-04 21:18:30,353 [main] INFO OrangeHRM - Entered Username
2020-08-04 21:18:30,444 [main] INFO OrangeHRM - Entered Password
2020-08-04 21:18:31,914 [main] INFO OrangeHRM - Test is passed
2020-08-04 21:18:39,226 [main] INFO OrangeHRM - Username Provided
2020-08-04 21:18:39,318 [main] INFO OrangeHRM - Password Provided
2020-08-04 21:18:45,546 [main] INFO OrangeHRM - Click on Edit Button
2020-08-04 21:19:39,377 [main] INFO OrangeHRM - URL is opened
2020-08-04 21:19:41,628 [main] INFO OrangeHRM - Entered Username
2020-08-04 21:19:41,718 [main] INFO OrangeHRM - Entered Password
2020-08-04 21:19:43,194 [main] INFO OrangeHRM - Test is passed
2020-08-04 21:19:50,420 [main] INFO OrangeHRM - Username Provided
2020-08-04 21:19:50,513 [main] INFO OrangeHRM - Password Provided
2020-08-04 21:19:57,705 [main] INFO OrangeHRM - Click on Edit Button
2020-08-04 21:19:57,850 [main] INFO OrangeHRM - Enter first name
2020-08-04 21:19:57,976 [main] INFO OrangeHRM - Enter last name
2020-08-04 21:19:58,098 [main] INFO OrangeHRM - Insert ID
2020-08-04 21:19:58,345 [main] INFO OrangeHRM - Data is inserting
2020-08-04 21:19:58,425 [main] INFO OrangeHRM - Gender is Choosing
2020-08-04 21:19:58,511 [main] INFO OrangeHRM - Choose Material status
2020-08-04 21:19:58,571 [main] INFO OrangeHRM - Choose Nationality
2020-08-04 21:19:59,878 [main] INFO OrangeHRM - Save Sucessfully
2020-08-04 21:19:59,885 [main] INFO OrangeHRM - Test is passed
2020-08-04 21:37:54,569 [main] INFO OrangeHRM - URL is opened
2020-08-04 21:37:56,830 [main] INFO OrangeHRM - Entered Username
2020-08-04 21:37:56,926 [main] INFO OrangeHRM - Entered Password
